x,y,layer1,layer2,voltage1,voltage2,current
1088.08,3969.16,TOP_LAYER,INT1__GND_,0.00276549,0.00276549,-0
1088.08,3969.16,INT1__GND_,INT2__SIGN_,0.00276549,0.00276549,-6.09483e-16
1088.08,3969.16,INT2__SIGN_,INT3__SIGN_,0.00276549,0.00276549,-0
1088.08,3969.16,INT3__SIGN_,INT4__PWR_,0.00276549,0.00276549,-6.09483e-16
1088.08,3969.16,INT4__PWR_,BOTTOM_LAYER,0.00276549,0.00276549,-0
1088.08,4018.37,TOP_LAYER,INT1__GND_,0.00276642,0.00276642,-0
1088.08,4018.37,INT1__GND_,INT2__SIGN_,0.00276642,0.00276642,-6.09483e-16
1088.08,4018.37,INT2__SIGN_,INT3__SIGN_,0.00276642,0.00276642,-0
1088.08,4018.37,INT3__SIGN_,INT4__PWR_,0.00276642,0.00276642,-6.09483e-16
1088.08,4018.37,INT4__PWR_,BOTTOM_LAYER,0.00276642,0.00276642,-0
1088.08,4067.59,TOP_LAYER,INT1__GND_,0.00276751,0.00276751,-0
1088.08,4067.59,INT1__GND_,INT2__SIGN_,0.00276751,0.00276751,-6.09483e-16
1088.08,4067.59,INT2__SIGN_,INT3__SIGN_,0.00276751,0.00276751,-0
1088.08,4067.59,INT3__SIGN_,INT4__PWR_,0.00276751,0.00276751,-6.09483e-16
1088.08,4067.59,INT4__PWR_,BOTTOM_LAYER,0.00276751,0.00276751,-0
1088.08,4116.8,TOP_LAYER,INT1__GND_,0.0027696,0.0027696,-0
1088.08,4116.8,INT1__GND_,INT2__SIGN_,0.0027696,0.0027696,-2.43793e-15
1088.08,4116.8,INT2__SIGN_,INT3__SIGN_,0.0027696,0.0027696,-0
